run_id,ts,slug,tick,trade_id,intent_kind,side,qty,intent_price,time_left_sec,status,reason,fill_price,qty_tokens,notional_usd,proceeds_usd,data
20260712_225157_threshold_sim,1783864696,btc-updown-15m-1783863900,366,2,exit_sl,down,10.0,0.8,105,filled,,0.8,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783863900"", ""tick"": 366, ""side"": ""down"", ""price"": 0.8, ""qty_tokens"": 10.0, ""time_left_sec"": 105, ""ts"": 1783864696}, ""trade"": {""type"": ""trade"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783863900"", ""tick"": 366, ""side"": ""down"", ""ts"": 1783864696, ""status"": ""filled"", ""reason"": """", ""token_id"": ""79623776927860432880001516172818479258901275894479734824015229527746983334516"", ""qty_tokens"": 10.0, ""fill_price"": 0.8, ""data"": {}, ""debug"": {}}}"
20260712_225157_threshold_sim,1783865255,btc-updown-15m-1783864800,896,3,buy,down,10.0,0.84,446,filled,,0.84,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 896, ""side"": ""down"", ""price"": 0.84, ""qty_tokens"": 10.0, ""time_left_sec"": 446, ""ts"": 1783865255}, ""trade"": {""type"": ""trade"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 896, ""side"": ""down"", ""ts"": 1783865255, ""status"": ""filled"", ""reason"": """", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""qty_tokens"": 10.0, ""fill_price"": 0.84, ""data"": {}, ""debug"": {}}}"
20260712_225157_threshold_sim,1783865266,btc-updown-15m-1783864800,906,4,exit_sl,down,10.0,0.76,435,filled,,0.76,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 906, ""side"": ""down"", ""price"": 0.76, ""qty_tokens"": 10.0, ""time_left_sec"": 435, ""ts"": 1783865266}, ""trade"": {""type"": ""trade"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 906, ""side"": ""down"", ""ts"": 1783865266, ""status"": ""filled"", ""reason"": """", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""qty_tokens"": 10.0, ""fill_price"": 0.76, ""data"": {}, ""debug"": {}}}"
20260712_225157_threshold_sim,1783865533,btc-updown-15m-1783864800,1161,5,buy,down,10.0,0.82,168,filled,,0.82,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1161, ""side"": ""down"", ""price"": 0.82, ""qty_tokens"": 10.0, ""time_left_sec"": 168, ""ts"": 1783865533}, ""trade"": {""type"": ""trade"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1161, ""side"": ""down"", ""ts"": 1783865533, ""status"": ""filled"", ""reason"": """", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""qty_tokens"": 10.0, ""fill_price"": 0.82, ""data"": {}, ""debug"": {}}}"
20260712_225155_ma_breakout_sim,1783865534,btc-updown-15m-1783864800,1159,1,buy,up,10.0,0.19,167,filled,,0.19,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1159, ""side"": ""up"", ""price"": 0.19, ""qty_tokens"": 10.0, ""time_left_sec"": 167, ""ts"": 1783865534}, ""trade"": {""type"": ""trade"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1159, ""side"": ""up"", ""ts"": 1783865534, ""status"": ""filled"", ""reason"": """", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""qty_tokens"": 10.0, ""fill_price"": 0.19, ""data"": {}, ""debug"": {}}}"
20260712_225155_ma_breakout_sim,1783865535,btc-updown-15m-1783864800,1160,2,exit_time,up,10.0,0.16,166,filled,,0.16,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""exit_time"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1160, ""side"": ""up"", ""price"": 0.16, ""qty_tokens"": 10.0, ""time_left_sec"": 166, ""ts"": 1783865535}, ""trade"": {""type"": ""trade"", ""kind"": ""exit_time"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1160, ""side"": ""up"", ""ts"": 1783865535, ""status"": ""filled"", ""reason"": """", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""qty_tokens"": 10.0, ""fill_price"": 0.16, ""data"": {}, ""debug"": {}}}"
20260712_225155_ma_breakout_sim,1783865545,btc-updown-15m-1783864800,1170,3,buy,up,10.0,0.3,156,filled,,0.3,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1170, ""side"": ""up"", ""price"": 0.3, ""qty_tokens"": 10.0, ""time_left_sec"": 156, ""ts"": 1783865545}, ""trade"": {""type"": ""trade"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1170, ""side"": ""up"", ""ts"": 1783865545, ""status"": ""filled"", ""reason"": """", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""qty_tokens"": 10.0, ""fill_price"": 0.3, ""data"": {}, ""debug"": {}}}"
20260712_225157_threshold_sim,1783865546,btc-updown-15m-1783864800,1173,6,exit_sl,down,10.0,0.7,156,filled,,0.7,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1173, ""side"": ""down"", ""price"": 0.7, ""qty_tokens"": 10.0, ""time_left_sec"": 156, ""ts"": 1783865546}, ""trade"": {""type"": ""trade"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1173, ""side"": ""down"", ""ts"": 1783865546, ""status"": ""filled"", ""reason"": """", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""qty_tokens"": 10.0, ""fill_price"": 0.7, ""data"": {}, ""debug"": {}}}"
20260712_225155_ma_breakout_sim,1783865612,btc-updown-15m-1783864800,1234,4,exit_time,up,10.0,0.17,89,filled,,0.17,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""exit_time"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1234, ""side"": ""up"", ""price"": 0.17, ""qty_tokens"": 10.0, ""time_left_sec"": 89, ""ts"": 1783865612}, ""trade"": {""type"": ""trade"", ""kind"": ""exit_time"", ""slug"": ""btc-updown-15m-1783864800"", ""tick"": 1234, ""side"": ""up"", ""ts"": 1783865612, ""status"": ""filled"", ""reason"": """", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""qty_tokens"": 10.0, ""fill_price"": 0.17, ""data"": {}, ""debug"": {}}}"
20260712_225155_ma_breakout_sim,1783866022,btc-updown-15m-1783865700,1634,5,buy,down,10.0,0.44,579,filled,,0.44,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783865700"", ""tick"": 1634, ""side"": ""down"", ""price"": 0.44, ""qty_tokens"": 10.0, ""time_left_sec"": 579, ""ts"": 1783866022}, ""trade"": {""type"": ""trade"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783865700"", ""tick"": 1634, ""side"": ""down"", ""ts"": 1783866022, ""status"": ""filled"", ""reason"": """", ""token_id"": ""67937605744605062186013460082264820464167568950044310332236786350419050402790"", ""qty_tokens"": 10.0, ""fill_price"": 0.44, ""data"": {}, ""debug"": {}}}"
