run_id,ts,slug,tick,cash,position_side,position_entry,position_qty_tokens,position_notional_usd,entries_up,entries_down,tp_done,quote_up_bid,quote_up_ask,quote_down_bid,quote_down_ask,data
20260712_225157_threshold_sim,,btc-updown-15m-1783863900,366,-6.799999999999997,,,,,0,1,False,0.17,0.2,0.8,0.81,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783863900"", ""slug_start_ts"": 1783863900, ""time_left_sec"": 105, ""tick"": 366, ""quote"": {""slug"": ""btc-updown-15m-1783863900"", ""up"": {""outcome"": ""Up"", ""token_id"": ""16572725900986516007471586074305128707538750289527574646740002614352471155293"", ""bid"": ""0.17"", ""ask"": ""0.2""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""79623776927860432880001516172818479258901275894479734824015229527746983334516"", ""bid"": ""0.8"", ""ask"": ""0.81""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 1, ""entries"": {""up"": 0, ""down"": 1}, ""tp_done"": false}}}"
20260712_225157_threshold_sim,,btc-updown-15m-1783864800,896,-15.199999999999998,down,0.84,10.0,8.4,0,1,False,0.23,0.21,0.82,0.84,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783864800"", ""slug_start_ts"": 1783864800, ""time_left_sec"": 446, ""tick"": 896, ""quote"": {""slug"": ""btc-updown-15m-1783864800"", ""up"": {""outcome"": ""Up"", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""bid"": ""0.23"", ""ask"": ""0.21""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""bid"": ""0.82"", ""ask"": ""0.84""}}}, ""account"": {""position"": {""side"": ""down"", ""entry"": 0.84, ""qty_tokens"": 10.0, ""notional_usd"": 8.4}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 0, ""down"": 1}, ""tp_done"": false}}}"
20260712_225157_threshold_sim,,btc-updown-15m-1783864800,906,-7.599999999999998,,,,,0,1,False,0.22,0.23,0.76,0.77,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783864800"", ""slug_start_ts"": 1783864800, ""time_left_sec"": 435, ""tick"": 906, ""quote"": {""slug"": ""btc-updown-15m-1783864800"", ""up"": {""outcome"": ""Up"", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""bid"": ""0.22"", ""ask"": ""0.23""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""bid"": ""0.76"", ""ask"": ""0.77""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 0, ""down"": 1}, ""tp_done"": false}}}"
20260712_225155_ma_breakout_sim,,btc-updown-15m-1783864800,1159,4.0,up,0.19,10.0,1.9,1,0,False,0.19,0.19,0.83,0.84,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783864800"", ""slug_start_ts"": 1783864800, ""time_left_sec"": 167, ""tick"": 1159, ""quote"": {""slug"": ""btc-updown-15m-1783864800"", ""up"": {""outcome"": ""Up"", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""bid"": ""0.19"", ""ask"": ""0.19""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""bid"": ""0.83"", ""ask"": ""0.84""}}}, ""account"": {""position"": {""side"": ""up"", ""entry"": 0.19, ""qty_tokens"": 10.0, ""notional_usd"": 1.9}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 1, ""down"": 0}, ""tp_done"": false}}}"
20260712_225155_ma_breakout_sim,,btc-updown-15m-1783864800,1160,5.6,,,,,1,0,False,0.16,0.17,0.83,0.84,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783864800"", ""slug_start_ts"": 1783864800, ""time_left_sec"": 166, ""tick"": 1160, ""quote"": {""slug"": ""btc-updown-15m-1783864800"", ""up"": {""outcome"": ""Up"", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""bid"": ""0.16"", ""ask"": ""0.17""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""bid"": ""0.83"", ""ask"": ""0.84""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 1, ""down"": 0}, ""tp_done"": false}}}"
20260712_225157_threshold_sim,,btc-updown-15m-1783864800,1161,-15.799999999999997,down,0.82,10.0,8.2,0,2,False,0.18,0.2,0.8,0.82,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783864800"", ""slug_start_ts"": 1783864800, ""time_left_sec"": 168, ""tick"": 1161, ""quote"": {""slug"": ""btc-updown-15m-1783864800"", ""up"": {""outcome"": ""Up"", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""bid"": ""0.18"", ""ask"": ""0.2""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""bid"": ""0.8"", ""ask"": ""0.82""}}}, ""account"": {""position"": {""side"": ""down"", ""entry"": 0.82, ""qty_tokens"": 10.0, ""notional_usd"": 8.2}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 0, ""down"": 2}, ""tp_done"": false}}}"
20260712_225155_ma_breakout_sim,,btc-updown-15m-1783864800,1170,2.5999999999999996,up,0.3,10.0,3.0,2,0,False,0.29,0.3,0.7,0.71,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783864800"", ""slug_start_ts"": 1783864800, ""time_left_sec"": 156, ""tick"": 1170, ""quote"": {""slug"": ""btc-updown-15m-1783864800"", ""up"": {""outcome"": ""Up"", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""bid"": ""0.29"", ""ask"": ""0.3""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""bid"": ""0.7"", ""ask"": ""0.71""}}}, ""account"": {""position"": {""side"": ""up"", ""entry"": 0.3, ""qty_tokens"": 10.0, ""notional_usd"": 3.0}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 2, ""down"": 0}, ""tp_done"": false}}}"
20260712_225157_threshold_sim,,btc-updown-15m-1783864800,1173,-8.799999999999997,,,,,0,2,False,0.29,0.3,0.7,0.71,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783864800"", ""slug_start_ts"": 1783864800, ""time_left_sec"": 156, ""tick"": 1173, ""quote"": {""slug"": ""btc-updown-15m-1783864800"", ""up"": {""outcome"": ""Up"", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""bid"": ""0.29"", ""ask"": ""0.3""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""bid"": ""0.7"", ""ask"": ""0.71""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 0, ""down"": 2}, ""tp_done"": false}}}"
20260712_225155_ma_breakout_sim,,btc-updown-15m-1783864800,1234,4.3,,,,,2,0,False,0.17,0.18,0.82,0.83,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783864800"", ""slug_start_ts"": 1783864800, ""time_left_sec"": 89, ""tick"": 1234, ""quote"": {""slug"": ""btc-updown-15m-1783864800"", ""up"": {""outcome"": ""Up"", ""token_id"": ""111377856153471522868319892124517748708637371348961615671407977286292842405715"", ""bid"": ""0.17"", ""ask"": ""0.18""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""114419855968658808392758985155613715597749616752834328894553786567309997632762"", ""bid"": ""0.82"", ""ask"": ""0.83""}}}, ""account"": {""position"": {}, ""state"": {""slug_idx"": 2, ""entries"": {""up"": 2, ""down"": 0}, ""tp_done"": false}}}"
20260712_225155_ma_breakout_sim,,btc-updown-15m-1783865700,1634,-0.10000000000000053,down,0.44,10.0,4.4,0,1,False,0.61,0.62,0.4,0.44,"{""quote"": {""type"": ""quote"", ""slug"": ""btc-updown-15m-1783865700"", ""slug_start_ts"": 1783865700, ""time_left_sec"": 579, ""tick"": 1634, ""quote"": {""slug"": ""btc-updown-15m-1783865700"", ""up"": {""outcome"": ""Up"", ""token_id"": ""101220462931713277881057604847206805340734761087463180231787787872023168471053"", ""bid"": ""0.61"", ""ask"": ""0.62""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""67937605744605062186013460082264820464167568950044310332236786350419050402790"", ""bid"": ""0.4"", ""ask"": ""0.44""}}}, ""account"": {""position"": {""side"": ""down"", ""entry"": 0.44, ""qty_tokens"": 10.0, ""notional_usd"": 4.4}, ""state"": {""slug_idx"": 3, ""entries"": {""up"": 0, ""down"": 1}, ""tp_done"": false}}}"
