ts,type,slug,tick,data
1767442054.8105845,quote,btc-updown-15m-1767441600,15,"{""type"": ""quote"", ""tick"": 15, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.05"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.94""}}}"
1767442055.8131018,tick,btc-updown-15m-1767441600,16,"{""type"": ""tick"", ""tick"": 16, ""slug"": ""btc-updown-15m-1767441600""}"
1767442057.1846054,quote,btc-updown-15m-1767441600,16,"{""type"": ""quote"", ""tick"": 16, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.05"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.95""}}}"
1767442058.1861427,tick,btc-updown-15m-1767441600,17,"{""type"": ""tick"", ""tick"": 17, ""slug"": ""btc-updown-15m-1767441600""}"
1767442059.5430624,quote,btc-updown-15m-1767441600,17,"{""type"": ""quote"", ""tick"": 17, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.05"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.95""}}}"
1767442060.5453858,tick,btc-updown-15m-1767441600,18,"{""type"": ""tick"", ""tick"": 18, ""slug"": ""btc-updown-15m-1767441600""}"
1767442061.900772,quote,btc-updown-15m-1767441600,18,"{""type"": ""quote"", ""tick"": 18, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.05"", ""ask"": ""0.06""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.94"", ""ask"": ""0.95""}}}"
1767442062.9030626,tick,btc-updown-15m-1767441600,19,"{""type"": ""tick"", ""tick"": 19, ""slug"": ""btc-updown-15m-1767441600""}"
1767442064.2551396,quote,btc-updown-15m-1767441600,19,"{""type"": ""quote"", ""tick"": 19, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.05"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.94""}}}"
1767442065.2574866,tick,btc-updown-15m-1767441600,20,"{""type"": ""tick"", ""tick"": 20, ""slug"": ""btc-updown-15m-1767441600""}"
