cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,entry_slope_max,haircut,trades,train_pnl,train_mdd,train_score,mar03_pnl,sim_pnl,val_pnl,total_pnl,sell_fail_rate
0.45,480,0,none,0,none,0,0.01,436,-12.09000014865003,-36.29000000000002,-30.23500014865004,-12.0502487562189,22.400000000000016,10.349751243781116,-1.740248904868924,0.218
0.45,480,0,none,30,none,none,0.01,190,-3.8600001486500117,-19.25,-13.485000148650013,-3.7900497512437847,16.8,13.009950248756216,9.149950100106206,0.208
0.45,480,0,none,30,none,0,0.01,166,2.649999851349987,-19.550000000000004,-7.125000148650015,-3.5900497512437832,19.500000000000007,15.909950248756225,18.559950100106214,0.211
0.45,480,0,none,30,none,-0.005,0.01,164,1.9499998513499877,-19.550000000000004,-7.825000148650014,-3.5900497512437832,21.300000000000008,17.709950248756225,19.65995010010621,0.211
0.45,480,0,none,30,none,-0.01,0.01,160,1.1999998513499905,-19.6,-8.600000148650011,-3.990049751243783,22.20000000000001,18.209950248756225,19.409950100106208,0.207
0.45,480,0,none,0,none,-0.005,0.01,394,0.909999851349987,-26.790000000000003,-12.485000148650014,-11.560199004975129,16.79999999999999,5.239800995024861,6.1498008463748555,0.221
0.45,480,0,none,0,none,-0.01,0.01,356,5.799999851349978,-21.1,-4.750000148650023,-11.880099502487564,24.800000000000008,12.919900497512444,18.71990034886242,0.215
0.45,480,0,0.98,0,none,none,0.01,640,-10.060000000000029,-32.36000000000001,-26.24000000000003,-16.420398009950254,17.80000000000002,1.379601990049764,-8.68039800995026,0.222
0.45,480,0,0.98,0,none,0,0.01,432,-10.700000000000033,-35.49000000000002,-28.445000000000043,-11.960199004975125,22.410000000000014,10.449800995024889,-0.25019900497514413,0.239
0.45,480,0,0.98,30,none,none,0.01,190,-4.870000000000003,-19.57,-14.655000000000003,-4.190049751243784,15.099999999999998,10.909950248756214,6.0399502487562176,0.207
0.45,480,0,0.98,30,none,0,0.01,166,1.6499999999999972,-20.150000000000002,-8.425000000000004,-4.200000000000003,19.109999999999996,14.909999999999993,16.55999999999999,0.216
0.45,480,0,0.98,30,none,-0.005,0.01,164,0.849999999999997,-20.150000000000002,-9.225000000000005,-4.200000000000001,21.11,16.909999999999997,17.759999999999994,0.22
0.45,480,0,0.98,30,none,-0.01,0.01,160,1.8999999999999952,-19.000000000000004,-7.600000000000007,-4.090049751243783,21.309999999999995,17.219950248756213,19.119950248756204,0.22
0.45,480,0,0.98,0,none,-0.005,0.01,400,-1.1900000000000226,-27.890000000000015,-15.13500000000003,-7.330348258706471,23.81,16.479651741293527,15.289651741293504,0.222
0.45,480,0,0.98,0,none,-0.01,0.01,352,4.5999999999999845,-20.3,-5.550000000000016,-10.44029850746269,26.710000000000004,16.269701492537315,20.869701492537295,0.228
0.45,480,0,0.99,0,none,none,0.01,636,-3.4699999999999953,-32.36,-19.649999999999995,-13.340298507462682,20.099999999999994,6.759701492537312,3.289701492537313,0.221
0.45,480,0,0.99,0,none,0,0.01,436,-10.800000000000027,-35.29000000000002,-28.445000000000036,-12.250248756218907,20.910000000000014,8.659751243781107,-2.1402487562189165,0.239
0.45,480,0,0.99,30,none,none,0.01,190,-4.479999999999999,-19.380000000000003,-14.17,-4.190049751243784,15.400000000000002,11.209950248756218,6.729950248756222,0.207
0.45,480,0,0.99,30,none,0,0.01,166,1.85,-20.150000000000002,-8.225000000000001,-4.200000000000003,19.410000000000004,15.21,17.06,0.216
0.45,480,0,0.99,0,none,-0.005,0.01,400,-1.090000000000014,-27.590000000000018,-14.885000000000023,-7.940298507462689,23.51,15.569701492537313,14.479701492537298,0.223
