enter_1,stop_drop,take_profit,entry_cap,t_enter,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.8,0.08,0.98,0.9,300,-17.76,-21.66,-28.59,-8.9,0.44,-9.3,-8.86,68,75,314
0.85,0.1,0.99,0.95,300,-17.57,-22.1,-28.62,-2.47,-5.1,-10.0,-15.1,91,69,324
0.8,0.08,0.99,0.9,180,-16.79,-23.89,-28.74,-16.0,-0.79,0.0,-0.79,48,53,214
0.85,0.1,0.99,0.9,300,-18.5,-21.1,-29.05,-6.72,-4.68,-7.1,-11.78,68,65,270
0.85,0.08,0.98,0.95,300,-18.85,-20.45,-29.08,-8.35,-5.6,-4.9,-10.5,87,73,324
0.85,0.08,0.99,0.95,180,-18.82,-22.62,-30.13,-14.63,0.71,-4.9,-4.19,56,48,210
0.85,0.06,0.99,0.9,300,-20.05,-20.65,-30.38,-15.3,-1.25,-3.5,-4.75,50,83,270
0.8,0.06,0.98,0.95,180,-18.97,-24.97,-31.46,-17.03,1.31,-3.25,-1.94,55,63,254
0.8,0.12,0.98,0.95,300,-20.55,-22.79,-31.95,-7.96,-0.39,-12.2,-12.59,106,64,362
0.8,0.12,0.99,0.95,300,-20.91,-23.12,-32.47,-9.32,0.21,-11.8,-11.59,103,67,364
0.8,0.08,0.99,0.9,300,-20.76,-23.46,-32.49,-9.5,0.94,-12.2,-11.26,66,77,314
0.85,0.08,0.99,0.95,300,-21.02,-23.03,-32.53,-9.12,-5.0,-6.9,-11.9,83,77,324
0.8,0.08,0.99,0.95,300,-21.2,-23.41,-32.91,-12.91,1.71,-10.0,-8.29,87,82,368
0.8,0.08,0.98,0.95,300,-21.43,-23.33,-33.1,-12.44,1.01,-10.0,-8.99,90,79,368
0.8,0.12,0.98,0.9,180,-20.65,-26.25,-33.78,-16.41,-1.99,-2.25,-4.24,54,46,214
0.85,0.06,0.98,0.95,300,-22.26,-23.36,-33.94,-15.08,-4.68,-2.5,-7.18,73,87,324
0.8,0.1,0.98,0.9,180,-20.84,-26.54,-34.11,-16.9,-1.99,-1.95,-3.94,50,50,214
0.85,0.06,0.99,0.95,300,-22.43,-23.94,-34.4,-15.65,-4.28,-2.5,-6.78,70,90,324
0.8,0.06,0.99,0.95,180,-22.9,-28.6,-37.2,-19.31,1.91,-5.5,-3.59,52,66,254
0.8,0.12,0.99,0.9,180,-23.8,-29.9,-38.75,-20.01,-1.79,-2.0,-3.79,54,47,214
0.8,0.1,0.99,0.9,180,-24.09,-30.29,-39.24,-20.6,-1.79,-1.7,-3.49,50,51,214
0.8,0.1,0.98,0.95,180,-26.93,-31.53,-42.7,-23.5,-0.88,-2.55,-3.43,66,53,252
0.8,0.12,0.98,0.95,180,-30.38,-34.38,-47.57,-26.15,-0.88,-3.35,-4.23,69,50,252
0.8,0.08,0.98,0.95,180,-29.78,-35.88,-47.72,-27.75,-0.08,-1.95,-2.03,59,60,252
0.8,0.1,0.99,0.95,180,-30.33,-35.23,-47.95,-26.08,-0.28,-3.97,-4.25,63,56,252
0.8,0.08,0.99,0.95,180,-33.18,-38.68,-52.52,-30.33,0.52,-3.37,-2.85,55,64,252
0.8,0.12,0.99,0.95,180,-33.78,-38.08,-52.82,-28.73,-0.28,-4.77,-5.05,65,53,252
