cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,entry_slope_max,haircut,trades,train_pnl,train_mdd,train_score,mar03_pnl,sim_pnl,val_pnl,total_pnl,sell_fail_rate
0.7,120,0,none,90,none,none,0.01,424,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-9.100000000000003,-6.4403482587064715,-10.520398009950263,0.238
0.7,120,0,none,90,none,0,0.01,418,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-5.6000000000000085,-9.240298507462693,-16.700298507462698,0.241
0.7,120,0,none,90,100,-0.005,0.01,418,-9.960000000000012,-17.210000000000008,-18.565000000000015,-3.6402985074626883,-5.400000000000006,-9.040298507462694,-19.000298507462702,0.241
0.7,120,0,none,90,100,-0.01,0.01,414,-5.800000000000009,-11.410000000000007,-11.505000000000013,-3.9402985074626864,-6.500000000000018,-10.440298507462703,-16.240298507462715,0.223
0.7,120,0,0.95,0,none,none,0.01,3512,-158.30034825870658,-172.07034825870656,-244.33552238805987,-21.83233830845765,-21.960000000000207,-43.79233830845786,-202.09268656716444,0.204
0.7,120,0,0.95,0,none,0,0.01,2606,-102.50029850746267,-102.50029850746267,-153.750447761194,-19.821293532338245,-14.660000000000053,-34.4812935323383,-136.98159203980097,0.213
0.7,120,0,0.95,30,none,none,0.01,424,-4.090049751243784,-18.99004975124378,-13.585074626865675,2.7497512437810934,-6.899999999999999,-4.150248756218906,-8.240298507462697,0.237
0.7,120,0,0.95,30,none,0,0.01,418,-8.76000000000001,-17.60000000000001,-17.560000000000016,-3.93034825870647,-5.600000000000016,-9.530348258706486,-18.290348258706494,0.24
0.7,120,0,0.95,0,none,-0.005,0.01,2484,-93.47024875621888,-95.87024875621888,-141.40537313432833,-16.831243781094514,-19.27000000000008,-36.101243781094595,-129.57149253731347,0.213
0.7,120,0,0.95,0,none,-0.01,0.01,2324,-84.92009950248753,-84.92009950248753,-127.3801492537313,-17.141243781094545,-16.370000000000203,-33.51124378109475,-118.4313432835823,0.215
0.7,120,0,0.95,30,80,none,0.01,424,-4.090049751243784,-18.99004975124378,-13.585074626865675,2.7497512437810934,-6.899999999999999,-4.150248756218906,-8.240298507462697,0.237
0.7,120,0,0.95,30,80,0,0.01,418,-8.76000000000001,-17.60000000000001,-17.560000000000016,-3.93034825870647,-5.600000000000016,-9.530348258706486,-18.290348258706494,0.24
