cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,haircut,trades,train_pnl,train_mdd,train_score,val_pnl,total_pnl,sell_fail_rate
0.5,200,0,none,0,80,0.01,1806,-32.96019994642657,-60.000150195182734,-62.96027504401793,-20.981094527363155,-36.241294473789665,0.209
0.5,200,0,none,60,none,0.01,366,2.8399004975124273,-13.090049751243784,-3.7051243781094647,0.14975124378109506,1.199651741293522,0.224
0.5,200,0,none,60,80,0.01,364,5.609950248756196,-12.990049751243792,-0.8850746268657002,0.14975124378109506,4.069701492537288,0.221
0.5,200,0,none,90,80,0.01,364,5.609950248756196,-12.990049751243792,-0.8850746268657002,0.14975124378109506,4.069701492537288,0.221
0.5,200,0,none,90,100,0.01,362,5.609950248756196,-12.990049751243792,-0.8850746268657002,0.14975124378109506,4.1597014925372875,0.221
0.5,200,0,none,60,100,0.01,362,5.609950248756196,-12.990049751243792,-0.8850746268657002,0.14975124378109506,4.1597014925372875,0.221
0.5,200,0,none,90,none,0.01,366,2.8399004975124273,-13.090049751243784,-3.7051243781094647,0.14975124378109506,1.199651741293522,0.224
0.5,200,0,0.95,0,none,0.01,1970,-41.51024875621899,-60.13024875621899,-71.57537313432849,-33.25124378109457,-68.05149253731362,0.215
0.5,200,0,0.95,0,80,0.01,1818,-38.68014925373145,-60.67014925373144,-69.01522388059718,-24.871144278606977,-47.8412935323385,0.211
0.5,200,0,0.95,0,100,0.01,1788,-47.22019900497522,-69.8101990049752,-82.12529850746282,-17.151243781094543,-55.4714427860698,0.212
0.5,200,0,0.95,30,none,0.01,366,1.4399502487562068,-13.790049751243782,-5.4550746268656845,0.7597014925373138,1.8096517412935178,0.227
0.5,200,0,0.95,60,none,0.01,366,1.4399502487562068,-13.790049751243782,-5.4550746268656845,0.7597014925373138,1.8096517412935178,0.227
0.5,200,0,0.95,60,80,0.01,364,2.929950248756201,-12.890049751243785,-3.5150746268656916,0.559701492537314,2.7996517412935145,0.228
0.5,200,0,0.95,30,80,0.01,364,2.929950248756201,-12.890049751243785,-3.5150746268656916,0.559701492537314,2.7996517412935145,0.228
0.5,200,0,0.95,30,100,0.01,362,2.929950248756201,-12.890049751243785,-3.5150746268656916,0.559701492537314,2.8896517412935143,0.228
0.5,200,0,0.95,90,80,0.01,364,2.929950248756201,-12.890049751243785,-3.5150746268656916,0.559701492537314,2.7996517412935145,0.228
0.5,200,0,0.95,90,100,0.01,362,2.929950248756201,-12.890049751243785,-3.5150746268656916,0.559701492537314,2.8896517412935143,0.228
0.5,200,0,0.95,60,100,0.01,362,2.929950248756201,-12.890049751243785,-3.5150746268656916,0.559701492537314,2.8896517412935143,0.228
0.5,200,0,0.95,90,none,0.01,366,1.4399502487562068,-13.790049751243782,-5.4550746268656845,0.7597014925373138,1.8096517412935178,0.227
0.5,200,0,0.98,0,none,0.01,1966,-44.94024875621905,-63.55024875621903,-76.71537313432856,-33.26119402985074,-70.59144278606979,0.214
