cap,ma,tick_confirm,tp_sl,cooldown_sec,ban_last_sec,haircut,trades,train_pnl,train_mdd,train_score,val_pnl
0.5,200,0,none,60,100,0.01,413,37.108499094922166,-11.57137002061283,31.32281408461575,-8.330361046064414
0.5,200,0,none,90,none,0.01,393,20.34651910522858,-19.553800000644134,10.569619104906513,-11.53729835949725
0.5,200,0,none,90,80,0.01,372,9.797079105228578,-22.470510021256963,-1.4381759053999037,-10.84639835949725
0.5,200,0,none,90,100,0.01,366,11.918879105228578,-21.974510021256965,0.931624094600096,-10.55029835949725
0.5,200,0,0.15/0.05,0,none,0.01,980,-37.442935703394326,-43.3510656364027,-59.11846852159567,-16.518468508750978
0.5,200,0,0.15/0.05,0,80,0.01,908,-28.193675703394334,-34.69453563640269,-45.54094352159568,-12.669168508750978
0.5,200,0,0.15/0.05,0,100,0.01,887,-33.41537570339433,-36.697835636402694,-51.764293521595675,-10.112789404273364
0.5,200,0,0.15/0.05,30,none,0.01,585,-9.894368312019282,-23.955529135396855,-21.87213287971771,-12.619656568452472
0.5,200,0,0.10/0.05,30,80,0.01,549,-27.735978312019284,-33.29558831201929,-44.38377246802893,-5.562314777407694
0.5,200,0,0.10/0.05,30,100,0.01,540,-26.496378312019292,-32.05598831201929,-42.524372468028936,-5.562314777407694
0.5,200,0,0.10/0.05,60,none,0.01,499,-15.300688299780425,-27.501138299780443,-29.051257449670647,-3.4892401505420274
0.5,200,0,0.10/0.05,60,80,0.01,465,-13.818728299780428,-19.819078299780436,-23.728267449670646,-3.4892401505420274
0.5,200,0,0.10/0.05,60,100,0.01,458,-13.27232829978043,-19.867378299780437,-23.206017449670647,-3.7951610460644147
0.5,200,0,0.10/0.05,90,none,0.01,436,-21.281108289474023,-28.313658289474027,-35.43793743421104,-1.3968983594972506
0.5,200,0,0.10/0.05,90,80,0.01,414,-18.76854828947402,-24.91279828947403,-31.224947434211032,-0.8046983594972505
0.5,200,0,0.10/0.05,90,100,0.01,407,-18.22854828947402,-24.86879828947403,-30.662947434211034,-0.5085983594972505
0.5,200,2,0.10/0.10,0,none,0.01,1074,-110.82519570919166,-112.5437957091917,-167.0970935637875,-28.654812545043217
0.5,200,2,0.10/0.10,0,80,0.01,1004,-111.42690570919166,-113.8364057091917,-168.3451085637875,-24.44017523161038
0.5,200,2,0.10/0.10,0,100,0.01,980,-107.90031570919166,-110.30981570919167,-163.05522356378748,-24.966317022655154
0.5,200,2,0.10/0.10,30,none,0.01,696,-81.02519013333912,-81.02519013333911,-121.53778520000867,-18.04060403371564
0.5,200,2,0.10/0.10,30,80,0.01,655,-73.05078013333912,-73.05078013333907,-109.57617020000865,-16.188124929238025
0.5,200,2,0.10/0.10,30,100,0.01,641,-67.83565013333914,-67.83565013333912,-101.7534752000087,-16.408345824760413
0.5,200,2,0.10/0.10,60,none,0.01,534,-32.403709215271476,-50.20547004895539,-57.50644423974917,-12.863633884461905
0.5,200,2,0.10/0.10,60,80,0.01,507,-30.061119215271482,-46.3052400489554,-53.21373923974918,-12.863633884461905
0.5,200,0,0.10/0.10,60,100,0.01,455,-9.043928299780431,-13.634239125734569,-15.861047862647716,-4.495881941586801
0.5,200,0,0.10/0.10,90,none,0.01,436,-17.431808289474017,-26.015259125734566,-30.4394378523413,-2.1963192550196378
0.5,200,0,0.10/0.10,90,80,0.01,414,-16.89324828947402,-23.013729125734567,-28.4001128523413,-1.5054192550196377
0.5,200,0,0.10/0.10,90,100,0.01,407,-16.353248289474024,-22.226729125734572,-27.46661285234131,-1.2093192550196377
0.5,200,0,0.10/0.05,0,none,0.01,981,-67.47339391234954,-67.47339391234954,-101.2100908685243,-10.6755267177062
0.5,200,0,0.10/0.05,0,80,0.01,909,-54.374833912349544,-54.943543912349575,-81.84660586852434,-8.6028267177062
0.5,200,0,0.10/0.05,0,100,0.01,888,-58.12585480787193,-58.125854807871924,-87.18878221180789,-7.724347613228589
0.5,200,0,0.10/0.05,30,none,0.01,593,-27.178128312019275,-32.323809125734556,-43.34003287488655,-6.253214777407695
0.5,200,0,0.10/0.10,0,none,0.01,973,-63.654223910417095,-63.6542239104171,-95.48133586562565,-12.659347613228588
0.5,200,0,0.10/0.10,0,80,0.01,902,-49.5686639104171,-54.28289383827218,-76.71011082955319,-9.994447613228589
0.5,200,0,0.10/0.10,0,100,0.01,882,-51.74048480593949,-55.725154785326644,-79.60306219860281,-9.115968508750976
0.5,200,0,0.10/0.10,30,none,0.01,590,-24.108607416496888,-33.784737375271234,-41.000976104132505,-7.743535672930083
0.5,200,0,0.10/0.10,30,80,0.01,546,-25.94955741649689,-36.109317375271246,-44.00421610413251,-6.460435672930084
0.5,200,0,0.10/0.10,30,100,0.01,537,-26.20027831201928,-35.34303827079363,-43.87179744741609,-6.460435672930084
0.5,200,0,0.10/0.10,60,none,0.01,496,-10.183988299780427,-30.19400911542815,-25.280992857494503,-4.189961046064414
0.5,200,0,0.10/0.10,60,80,0.01,462,-9.590328299780428,-26.259649115428147,-22.7201528574945,-4.189961046064414
0.5,200,2,0.10/0.10,60,100,0.01,500,-29.157619215271488,-44.21898009018107,-51.26710926036202,-13.860454779984295
0.5,200,2,0.10/0.10,90,none,0.01,453,-25.10535009018106,-29.029550090181054,-39.620125135271586,-6.910254779984297
0.5,200,2,0.10/0.10,90,80,0.01,430,-25.00159009018106,-29.68872006956825,-39.845950124965185,-7.722675675506685
0.5,200,2,0.10/0.10,90,100,0.01,423,-24.78277009018106,-29.86340006956825,-39.71447012496519,-6.735675675506685
